Cores	40
HapChr	-	
InsertSizeCutoff	550
JobPath	./Example/
Asm1FaiPath	./Example/Zebrafinch_Pre_Chr25.fasta.fai
Asm2FaiPath	./Example/Zebrafinch_VGP_Chr25.fasta.fai
InputMaf	./Example/Zebrafinch_Chr25_SimpleExample.maf
Ref	Zebrafinch1
Tar	Zebrafinch0
Asm1BamPath	./Example/Zebrafinch_Pre_Chr25.bam
Asm2BamPath	./Example/Zebrafinch_VGP_Chr25.bam
Asm1GapPath	./Example/GCA_000151805.2_Taeniopygia_guttata-3.2.4_genomic_gaps_Chr25.txt
Asm2GapPath	./Example/GCA_003957565.2_bTaeGut1_v1.p_genomic_gaps_Chr25.txt
Asm1AsmKmerDirPath	./Example/Zebrafinch_Pre_AsmKmer.meryl
Asm2AsmKmerDirPath	./Example/Zebrafinch_VGP_AsmKmer.meryl
Asm1ReadKmerDirPath	./Example/Zebrafinch_10XKmer.meryl
Asm2ReadKmerDirPath	./Example/Zebrafinch_10XKmer.meryl
Asm1Path	./Example/Zebrafinch_Pre_Chr25.fasta
Asm2Path	./Example/Zebrafinch_VGP_Chr25.fasta
Asm1DepthCutoff	45
Asm1HapDepthCutoff	0
Asm2DepthCutoff	50
Asm2HapDepthCutoff	0
Asm1SECutoff	5
Asm2SECutoff	2
Asm1PurgeDupPath	./Example/Zebrafinch_Pre_PurgeDups.bed
Asm2PurgeDupPath	./Example/Zebrafinch_VGP_PurgeDups.bed
Asm1PurgePafPath	./Example/Zebrafinch_Pre_Chr25.split.self.paf
Asm2PurgePafPath	./Example/Zebrafinch_VGP_Chr25.split.self.paf
ChrPairPath	./Example/Zebrafinch_Chr25_ChrConv.txt
